Date,Name,Year,Letterboxd URI
2025-08-24,Interstellar,2014,https://boxd.it/4VZ8
2025-08-24,Fight Club,1999,https://boxd.it/2a9q
2025-08-24,Oppenheimer,2023,https://boxd.it/wUow
2025-08-24,Pulp Fiction,1994,https://boxd.it/29Pq
2025-08-24,The Truman Show,1998,https://boxd.it/18U8
2025-08-24,Joker,2019,https://boxd.it/h4cS
2025-08-24,Dune,2021,https://boxd.it/fA7G
2025-08-24,The Batman,2022,https://boxd.it/eDGs
2025-08-24,The Dark Knight,2008,https://boxd.it/2b0k
2025-08-24,Inception,2010,https://boxd.it/1skk
2025-08-24,American Psycho,2000,https://boxd.it/28Vs
2025-08-24,Dune: Part Two,2024,https://boxd.it/pUfA
2025-08-24,Dead Poets Society,1989,https://boxd.it/2aSg
2025-08-24,Forrest Gump,1994,https://boxd.it/728
2025-08-24,The Menu,2022,https://boxd.it/lScm
2025-08-24,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2025-08-24,The Silence of the Lambs,1991,https://boxd.it/2aHW
2025-08-24,Shutter Island,2010,https://boxd.it/1U82
2025-08-24,The Godfather,1972,https://boxd.it/2aNK
2025-08-24,Superman,2025,https://boxd.it/E9IU
2025-08-24,Good Will Hunting,1997,https://boxd.it/2ahY
2025-08-24,Ratatouille,2007,https://boxd.it/27ww
2025-08-24,Avengers: Infinity War,2018,https://boxd.it/9vEe
2025-08-24,Avengers: Endgame,2019,https://boxd.it/9vE4
2025-08-24,The Matrix,1999,https://boxd.it/2a1m
2025-08-24,Taxi Driver,1976,https://boxd.it/2b8y
2025-08-24,The Social Network,2010,https://boxd.it/17ue
2025-08-24,The Shawshank Redemption,1994,https://boxd.it/2aHi
2025-08-24,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2025-08-24,Donnie Darko,2001,https://boxd.it/2b2A
2025-08-24,Arrival,2016,https://boxd.it/aNGk
2025-08-24,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2025-08-24,Blade Runner 2049,2017,https://boxd.it/b8wK
2025-08-24,Up,2009,https://boxd.it/1OEc
2025-08-24,Black Panther,2018,https://boxd.it/8MHs
2025-08-24,GoodFellas,1990,https://boxd.it/29FA
2025-08-24,Pride & Prejudice,2005,https://boxd.it/24u8
2025-08-24,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2025-08-24,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2025-08-24,Shrek,2001,https://boxd.it/29zi
2025-08-24,Don't Look Up,2021,https://boxd.it/o0Hc
2025-08-24,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI
2025-08-24,The Avengers,2012,https://boxd.it/1xFW
2025-08-24,Home Alone,1990,https://boxd.it/29Fg
2025-08-24,Catch Me If You Can,2002,https://boxd.it/29VS
2025-08-24,Gladiator,2000,https://boxd.it/2b9m
2025-08-24,Spider-Man: Far From Home,2019,https://boxd.it/fegG
2025-08-24,Thor: Ragnarok,2017,https://boxd.it/8MHi
2025-08-24,Iron Man,2008,https://boxd.it/28dA
2025-08-24,Toy Story,1995,https://boxd.it/29qA
2025-08-24,The Incredibles,2004,https://boxd.it/1XLm
2025-08-24,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc
2025-08-24,Finding Nemo,2003,https://boxd.it/72i
2025-08-24,"Monsters, Inc.",2001,https://boxd.it/2a46
2025-08-24,The Prestige,2006,https://boxd.it/293w
2025-08-24,Dunkirk,2017,https://boxd.it/d0Y6
2025-08-24,Thunderbolts*,2025,https://boxd.it/BfbQ
2025-08-24,Captain America: Civil War,2016,https://boxd.it/89Ja
2025-08-24,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC
2025-08-24,Batman Begins,2005,https://boxd.it/2aIg
2025-08-24,Schindler's List,1993,https://boxd.it/2aq2
2025-08-24,The Dark Knight Rises,2012,https://boxd.it/H3m
2025-08-24,The Lion King,1994,https://boxd.it/201Q
2025-08-24,Companion,2025,https://boxd.it/F04o
2025-08-24,John Wick,2014,https://boxd.it/7dEc
2025-08-24,The Witch,2015,https://boxd.it/9X0m
2025-08-24,Captain America: The Winter Soldier,2014,https://boxd.it/3r58
2025-08-24,Doctor Strange,2016,https://boxd.it/8MH8
2025-08-24,Gladiator II,2024,https://boxd.it/kqQQ
2025-08-24,Zack Snyder's Justice League,2021,https://boxd.it/tLOk
2025-08-24,Black Widow,2021,https://boxd.it/hWV8
2025-08-24,Eternals,2021,https://boxd.it/j36o
2025-08-24,Avengers: Age of Ultron,2015,https://boxd.it/3qi6
2025-08-24,Captain Marvel,2019,https://boxd.it/9vSA
2025-08-24,The Suicide Squad,2021,https://boxd.it/fw6O
2025-08-24,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW
2025-08-24,Venom,2018,https://boxd.it/b8wA
2025-08-24,Ant-Man and the Wasp,2018,https://boxd.it/cqUW
2025-08-24,Thor: The Dark World,2013,https://boxd.it/2DqA
2025-08-24,Man of Steel,2013,https://boxd.it/FRk
2025-08-24,Ant-Man,2015,https://boxd.it/3vmW
2025-08-24,Iron Man 3,2013,https://boxd.it/2cBQ
2025-08-24,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO
2025-08-24,Loki,2021,https://boxd.it/sbHg
2025-08-24,Iron Man 2,2010,https://boxd.it/1WZM
2025-08-24,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS
2025-08-24,Shazam!,2019,https://boxd.it/8WBu
2025-08-24,Venom: Let There Be Carnage,2021,https://boxd.it/llco
2025-08-24,Wonder Woman,2017,https://boxd.it/9roG
2025-08-24,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2025-08-24,The Godfather Part II,1974,https://boxd.it/2aNq
2025-08-24,Cars,2006,https://boxd.it/29ho
2025-08-24,The Lego Batman Movie,2017,https://boxd.it/azp0
2025-08-24,The Green Mile,1999,https://boxd.it/2agG
2025-08-24,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY
2025-08-24,V for Vendetta,2005,https://boxd.it/29Ik
2025-08-24,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ
2025-08-24,Rise of the Planet of the Apes,2011,https://boxd.it/cS4
2025-08-24,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE
2025-08-24,War for the Planet of the Apes,2017,https://boxd.it/8FE2
2025-08-24,Gattaca,1997,https://boxd.it/29Du
2025-08-24,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk
