tmdb_id,title,year,runtime,genres,director,writers,cast,production_companies,countries,languages,release_date,certification,vote_average,vote_count,popularity,overview,keywords,poster_path,backdrop_path
157336,Interstellar,2014,169,"['Adventure', 'Drama', 'Science Fiction']",Christopher Nolan,"['Jonathan Nolan', 'Christopher Nolan']","['Matthew McConaughey', 'Anne Hathaway', 'Michael Caine', 'Jessica Chastain', 'Casey Affleck', 'Wes Bentley', 'Topher Grace', 'Mackenzie Foy', 'Ellen Burstyn', 'John Lithgow']","['Legendary Pictures', 'Syncopy', 'Lynda Obst Productions']","['United Kingdom', 'United States of America']",['English'],2014-11-05,PG-13,8.46,37727,45.2083,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"['rescue', 'future', 'spacecraft', 'race against time', 'artificial intelligence (a.i.)', 'nasa', 'time warp', 'dystopia', 'expedition', 'space travel', 'wormhole', 'famine', 'hibernation', 'black hole', 'quantum mechanics', 'family relationships', 'space', 'robot', 'astronaut', 'scientist', 'single father', 'farmer', 'space station', 'space adventure', 'time paradox', 'cryonics', 'father daughter relationship', '2060s', 'cornfield', 'time manipulation']",/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,/vgnoBSVzWAV9sNQUORaDGvDp7wx.jpg
550,Fight Club,1999,139,"['Drama', 'Thriller']",David Fincher,['Jim Uhls'],"['Edward Norton', 'Brad Pitt', 'Helena Bonham Carter', 'Meat Loaf', 'Jared Leto', 'Zach Grenier', 'Holt McCallany', 'Eion Bailey', 'Richmond Arquette', 'David Andrews']","['Fox 2000 Pictures', 'Regency Enterprises', 'Linson Entertainment', '20th Century Fox', 'Taurus Film']","['Germany', 'United States of America']",['English'],1999-10-15,,8.437,30668,26.7949,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","['dual identity', 'rage and hate', 'based on novel or book', 'nihilism', 'fight', 'support group', 'dystopia', 'insomnia', 'alter ego', 'breaking the fourth wall', 'split personality', 'quitting a job', 'dissociative identity disorder', 'self destructiveness']",/jSziioSwPVrOy9Yow3XhWIBDjq1.jpg,/hZkgoQYus5vegHoetLkCJzb17zJ.jpg
872585,Oppenheimer,2023,181,"['Drama', 'History']",Christopher Nolan,['Christopher Nolan'],"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh', 'Benny Safdie']","['Syncopy', 'Universal Pictures', 'Atlas Entertainment', 'Breakheart Films', 'Peters Creek Entertainment']","['United Kingdom', 'United States of America']","['Dutch', 'English']",2023-07-19,R,8.053,10630,21.6157,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,"['husband wife relationship', 'based on novel or book', 'atomic bomb', 'patriotism', 'new mexico', 'world war ii', 'atomic bomb test', 'physics', 'biography', 'based on true story', 'antisemitism', 'interrogation', 'guilt', 'historical event', 'nuclear weapons', 'communism', 'red scare', 'mccarthyism', 'top secret project', 'moral dilemma', 'usa politics', '1940s', '20th century', 'manhattan project', 'los alamos']",/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,/neeNHeXjMF5fXoCJRsOmkNGC7q.jpg
680,Pulp Fiction,1994,154,"['Thriller', 'Crime', 'Comedy', 'Drama']",Quentin Tarantino,['Quentin Tarantino'],"['John Travolta', 'Samuel L. Jackson', 'Uma Thurman', 'Bruce Willis', 'Ving Rhames', 'Harvey Keitel', 'Eric Stoltz', 'Tim Roth', 'Amanda Plummer', 'Maria de Medeiros']","['Miramax', 'A Band Apart', 'Jersey Films']",['United States of America'],"['English', 'Spanish', 'French']",1994-09-10,,8.487,29009,19.4002,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","['drug dealer', 'boxer', 'massage', 'stolen money', 'briefcase', 'crime boss', 'redemption', 'heirloom', 'dance competition', 'los angeles, california', 'theft', 'nonlinear timeline', 'multiple storylines', 'neo-noir']",/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg
37165,The Truman Show,1998,103,"['Comedy', 'Drama']",Peter Weir,['Andrew Niccol'],"['Jim Carrey', 'Laura Linney', 'Noah Emmerich', 'Natascha McElhone', 'Holland Taylor', 'Ed Harris', 'Paul Giamatti', 'Brian Delate', 'Peter Krause', 'Blair Slater']","['Paramount Pictures', 'Scott Rudin Productions']",['United States of America'],"['English', 'Italian', 'Japanese', 'Spanish']",1998-06-04,PG,8.149,19236,13.3478,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,"['escape', 'paranoia', 'dystopia', 'suspicion', 'video surveillance', 'deception', 'hidden camera', 'simulated reality ', 'television producer', 'tv show in film', 'make believe', 'actor', 'tv show', 'allegory of the cave']",/vuza0WqY239yBXOadKlGwJsZJFE.jpg,/rmiG2uwcNoGFmBKMoa1pIcf514L.jpg
475557,Joker,2019,122,"['Crime', 'Thriller', 'Drama']",Todd Phillips,"['Scott Silver', 'Todd Phillips']","['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy', 'Brett Cullen', 'Shea Whigham', 'Bill Camp', 'Glenn Fleshler', 'Leigh Gill', 'Josh Pais']","['Warner Bros. Pictures', 'Joint Effort', 'Village Roadshow Pictures', 'Bron Studios', 'DC Films']","['Canada', 'United States of America']",['English'],2019-10-01,,8.133,26728,20.8481,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","['dreams', 'street gang', 'society', 'psychopath', 'clown', 'villain', 'based on comic', 'murder', 'psychological thriller', 'criminal mastermind', 'cynical', 'mental illness', 'anarchy', 'character study', 'clown makeup', 'prophetic', 'subway train', 'social realism', 'supervillain', 'tv host', '1980s', 'mother son relationship', 'origin story', 'falling into madness']",/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,/gZWl93sf8AxavYpVT1Un6EF3oCj.jpg
438631,Dune,2021,155,"['Science Fiction', 'Adventure']",Denis Villeneuve,"['Eric Roth', 'Denis Villeneuve', 'Jon Spaihts']","['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac', 'Jason Momoa', 'Stellan Skarsgård', 'Stephen McKinley Henderson', 'Josh Brolin', 'Javier Bardem', 'Sharon Duncan-Brewster', 'Chang Chen']",['Legendary Pictures'],['United States of America'],"['Mandarin', 'English']",2021-09-15,,7.78,13856,21.5161,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.","['empire', 'future', 'epic', 'army', 'based on novel or book', 'prophecy', 'dystopia', 'emperor', 'sand', 'spice', 'hallucinogen', 'treason', 'baron', 'revenge', 'premonition', 'betrayal', 'space', 'water shortage', 'creature', 'desert', 'knife fight', 'destiny', 'giant worm', 'space opera', 'sand dune', 'messiah', 'mother son relationship', 'giant creature', 'intense', 'audacious']",/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,/wYMbnrdRCREjNLwFlG5SLWzBjui.jpg
414906,The Batman,2022,177,"['Crime', 'Mystery', 'Thriller']",Matt Reeves,"['Peter Craig', 'Matt Reeves', 'Mattson Tomlin']","['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright', 'Colin Farrell', 'Paul Dano', 'John Turturro', 'Andy Serkis', 'Peter Sarsgaard', 'Barry Keoghan', 'Jayme Lawson']","['6th & Idaho Motion Picture Company', 'Dylan Clark Productions', 'DC Films', 'Warner Bros. Pictures']",['United States of America'],['English'],2022-03-01,PG-13,7.658,11170,26.4759,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.","['police', 'psychopath', 'secret identity', 'crime fighter', 'superhero', 'nightclub', 'politician', 'based on comic', 'vigilante', 'organized crime', 'serial killer', 'millionaire', 'social injustice', 'murder investigation', 'aftercreditsstinger', 'masked superhero', 'political corruption', 'neo-noir', 'urban gothic', 'vengeance', 'mayoral election', 'amused', 'excited']",/74xTEgt7R36Fpooo50r9T25onhq.jpg,/b0PlSFdDwbyK0cf5RxwDpaOJQvQ.jpg
155,The Dark Knight,2008,152,"['Drama', 'Action', 'Crime', 'Thriller']",Christopher Nolan,"['Jonathan Nolan', 'Christopher Nolan']","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal', 'Gary Oldman', 'Morgan Freeman', 'Monique Gabriela Curnen', 'Ron Dean', 'Cillian Murphy']","['Warner Bros. Pictures', 'Legendary Pictures', 'Syncopy', 'DC']","['United Kingdom', 'United States of America']","['English', 'Mandarin']",2008-07-16,PG-13,8.522,34300,31.0804,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","['sadism', 'chaos', 'secret identity', 'crime fighter', 'superhero', 'anti hero', 'scarecrow', 'based on comic', 'vigilante', 'organized crime', 'tragic hero', 'anti villain', 'criminal mastermind', 'district attorney', 'super power', 'super villain', 'neo-noir', 'bold']",/qJ2tW6WMUDux911r6m7haRef0WH.jpg,/enNubozHn9pXi0ycTVYUWfpHZm.jpg
27205,Inception,2010,148,"['Action', 'Science Fiction', 'Adventure']",Christopher Nolan,['Christopher Nolan'],"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe', 'Tom Hardy', 'Elliot Page', 'Dileep Rao', 'Cillian Murphy', 'Tom Berenger', 'Marion Cotillard', 'Pete Postlethwaite']","['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']",['United States of America'],"['English', 'French', 'Japanese', 'Swahili']",2010-07-15,PG-13,8.4,37849,26.2684,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","['rescue', 'mission', 'dreams', 'airplane', 'paris, france', 'virtual reality', 'kidnapping', 'philosophy', 'spy', 'allegory', 'manipulation', 'car crash', 'heist', 'memory', 'architecture', 'los angeles, california', 'dream world', 'subconscious', 'introspective']",/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,/gqby0RhyehP3uRrzmdyUZ0CgPPe.jpg
